"object_id","name"
"14159","Opinion"
"14200","Opinion"
"14236","Opinion"
"14268","Opinion"
"14291","Opinion"
"14319","Opinion"
"14332","Opinion"
"14356","Opinion"
"14381","Opinion"
"14445","Opinion"
"14467","Opinion"
"14486","Opinion"
"14507","Opinion"
"14534","Opinion"
"14542","Opinion"
"14564","Opinion"
"14609","Opinion"
"14669","Opinion"
"14692","Opinion"
"14714","Opinion"
"14729","Opinion"
"14796","Opinion"
"14811","Opinion"
"14835","Opinion"
"14852","Opinion"
"14875","Opinion"
"14894","Opinion"
"14924","Opinion"
"14934","Opinion"
"14965","Opinion"
"15037","Opinion"
"15041","Opinion"
"15060","Opinion"
"15100","Opinion"
"15117","Opinion"
"15135","Opinion"
"15139","Opinion"
"15215","Opinion"
"15258","Opinion"
"15329","Opinion"
"15614","Opinion"
"15716","Opinion"
"15838","Opinion"
"15884","Opinion"
"15925","Opinion"
"15979","Opinion"
"15995","Opinion"
"16200","Opinion"
"16283","Opinion"
"16348","Opinion"
"16532","Opinion"
"16565","Opinion"
"16627","Opinion"
"17075","Opinion"
"17277","Opinion"
"17448","Opinion"
"17494","Opinion"
"17503","Opinion"
"17616","Opinion"
"18782","Opinion"
"18785","Opinion"
"18788","Opinion"
"18791","Opinion"
"18794","Opinion"
"18861","Opinion"
"18870","Opinion"
"18882","Opinion"
"18885","Opinion"
"18892","Opinion"
"18895","Opinion"
"18898","Opinion"
"18917","Opinion"
"18919","Opinion"
"18981","Opinion"
"18992","Opinion"
"18999","Opinion"
"19002","Opinion"
"19004","Opinion"
"19044","Opinion"
"19133","Opinion"
"19202","Opinion"
"19205","Opinion"
"19208","Opinion"
"19212","Opinion"
"19219","Opinion"
"19222","Opinion"
"19225","Opinion"
"19228","Opinion"
"19231","Opinion"
"19236","Opinion"
"19239","Opinion"
"19249","Opinion"
"19273","Opinion"
"19307","Opinion"
"19314","Opinion"
"19317","Opinion"
"19320","Opinion"
"19323","Opinion"
"19426","Opinion"
"19429","Opinion"
"19476","Opinion"
"19513","Opinion"
"19529","Opinion"
"19552","Opinion"
"19573","Opinion"
"19576","Opinion"
"19579","Opinion"
"19581","Opinion"
"19680","Opinion"
"19724","Opinion"
"19727","Opinion"
"19732","Opinion"
"19761","Opinion"
"19764","Opinion"
"19827","Opinion"
"19880","Opinion"
"19884","Opinion"
"19887","Opinion"
"19890","Opinion"
"19921","Opinion"
"19970","Opinion"
"19975","Opinion"
"19978","Opinion"
"19981","Opinion"
"20004","Opinion"
"20050","Opinion"
